Index,Reviewer,Review,Rating,TextBlob Polarity Score,TextBlob Subjectivity Score,Vader_Neg,Vader_Neu,Vader_Pos,Vader_Com
0,"Sue Y.San Mateo, CA","Ventured into The Cheesecake Factory, expecting primarily desserts, and decided to try their chicken sandwich. A pleasant surprise! The chicken was tender, seasoned well, and nestled between a perfectly toasted bun. The ambiance was welcoming and grand, making it a comfortable dining experience. But as delicious as the sandwich was, the cheesecake still stole the show. Creamy, decadent, and rich  a must-have!While the menu can be a tad overwhelming with its vast choices, it's worth navigating for the delightful dishes they serve.Will return, if not for another sandwich, then surely for the cheesecake.",4,0.3961111111111111,0.8103703703703703,0.0,0.693,0.307,0.9871
1,"Kiyomi W.Elite 2023Elk Grove, CA","Came in on a Sunday around 6 with a reservation but wasn't seated until shortly after 6Our waiter Jordan wasn't too attentive and took awhile getting more water, bread, and ordering. I ordered the chicken Marsala but Jordan said that it might not be available any more but he would let me know. I did give him a second option but he never told me the chicken Marsala was not available until my other order came out so I was taken by surprise. My second option was the shrimp scampi but it had dairy that I cannot have so I had to send it back. The other waiter that brought it out told me I could get another dish and he would put the order in. Then our waiter Jordan came back and asked what else I would like but I told him someone else already took it but Jordan said no that dish won't work so I had to order something else. The manager finally came and took my order but then Jordan came like 10 minutes later with a list of dairy free items but I told him i had already ordered. So there was a lot of miscommunication happening and I just really wanted to be able to eat lol. Everyone in my party got their food at the same time besides one dish that eventually came out but it looked very dry like it was sitting for too long. When we got the bill we noticed we were charged for an extra dish and Jordan said oh I thought my manager took care of that already. Honestly not pleased at all with the service and time it took to get the food so will not be back",2,0.06397435897435898,0.43769230769230766,0.025,0.872,0.103,0.9792
2,"Marisol E.Sacramento, CA",Cheesecake factory never disappoints! They're drinks are great. More on the heavy pour side than the sweet side which i love! They have so many different food/ drink options to choose from. The service is always great when I come here and you can't forget about the complimentary bread they serve you! So delicious. The space is pretty big on the inside seats so many people and great for big parties. Also has an outdoor area. Definitely one of my go-to's.,5,0.39375,0.5812499999999999,0.0,0.63,0.37,0.9909
3,"Gina S.Elite 2023Elk Grove, CA","It's been at least 4 years since I've eaten here and I can honestly say I was pleasantly surprised at how good it still is. I was so glad that I signed up for their rewards program so that I could make reservations online otherwise it would have been an hour and a half wait! We were seated within 10 minutes which was great! Drinks were good, especially that Mai Tai and Espresso Martini. I loved my French Dip Cheeseburger with Aus Jus, it was like a guilty pleasure along with the crisp French fries. Someone in my party had the Carbonara Pasta with chicken and I would definitely order it next time, it was really delicious. And the cheesecake?? Well, it is what they are known for right?! I tried the Basque Style cheesecake- It was the bomb and goes down so easy even when you're stuffed lol. Service was great, fast and friendly.",4,0.27006349206349206,0.6076507936507937,0.014,0.662,0.324,0.9961
4,"Melissa B.Elite 2023Mansion Flats, Sacramento, CA","It's the Cheesecake Factory!! Been here before but never wrote up a review before. We came here for dinner. Had reservations at 6pm. Upon arrival, was seated within a few minutes after. Place is clean and welcoming as always (5/5). Our server was nice and welcomed us. Tended to us just enough but not overwhelming. Waiter service is a solid 5/5. We placed our order and food was served within 15 minutes straight from the kitchen. Presentation of the food is excellent (5/5). And taste is super yummy (5/5). I highly recommend the fish tacos. My partner got the chicken tacos. Alls came out real nice. We didn't get drinks this time. But overall experience is a solid 5/5. Cost to dine here is slightly on the higher side compared to other places. Value/Price ratio is about a 4.75/5. I would highly recommend making reservations ahead of time. This place is always packed. Won't disappoint though!",5,0.14824074074074076,0.5354629629629629,0.0,0.739,0.261,0.9943
5,"Eva W.Elite 2023Elk Grove, CA","Came here to get together with some friends.  We made reservations ahead of time.  We didn't wait long for our table.  The menu has a wide variety of items.  I ordered the miso salmon and I substituted with mash potatoes.  I did request for my salmon to be medium rare, but not too rare.  This way they don't overcook it and becomes dry.  I got medium when my entree came out.  Which was still good.  The salmon tasted fine, and the mash was ok.  The service was mediocre.  The server was nowhere to be found when we needed something.  When requested for something, it took her awhile to do the task.  We sat there waiting for her most of the time.",3,0.2,0.6300000000000001,0.0,0.936,0.064,0.7964
6,"David L.Elite 2023Sacramento, CA","I haven't been here in ages. Decided to go with some friends. The menu is huge so I knew there would be something for everyone. I made reservations but when we got there we had to wait a few minutes. It was weird because people without reservations seemed to be getting seated right away. It's a big place and it was still early at 530. We got seated in the back section. like a large side room. There were lots of people, the section was about full. I ordered the di Vinci pasta and it was pretty good. Oh and the clam chowder wasn't bad. My wife got the miso salmon which was good too. Everyone enjoyed their food. Chicken tenders and season salmon. The portions were pretty large. The service was a little slow but we were catching up so no worries.  Not a bad place for groups.",4,0.11556122448979592,0.5869614512471656,0.011,0.753,0.235,0.9906
7,"Amy H.Elite 2023Sacramento, CA","Came here a couple nights ago for a celebration, and I had an okay experience!We had a party of 12 people. We tried reserving ahead of time, but when we called, they stated that they don't do reservations, and if we come reserve at least 2 hours ahead, then there's a chance to be seated. When one of our groups went to reserve around 5:00pm, we checked in around 6:30pm to see where the wait is at and they said it's close but not so soon. About 10-15 minutes later they told us it'll be about an hour more wait because the party ahead of us arrived late. We were tired but we still decided to wait around. That's when they told us around 7:38pm that our table was ready. Some of us were in the middle of shopping and told us we might lose our spot. It was hectic trying to get there on time as we weren't given sufficient notice and we were informed that our wait time was pushed back. Kinda disappointing but it is what it is when there's a big crowd. When we arrived, we were seated and our server was very kind and provided us a pleasant service! What I got was the Crusted Chicken Romano and it was okay. The chicken tasted kind of bland, but the pasta was good and simple! It's really just crusted chicken with light tomato sauce on top of spaghetti noodles. At least the portions were huge! I could only eat half of this and be full. The place always has a dim light setting, but it has a nice ambiance and very spacious! Our table was clean and neat.",3,0.12735294117647059,0.5771708683473389,0.035,0.823,0.142,0.9868
8,"Amanda F.Moreno Valley, CA","Cheesecake Factory... why is your menu 100 pages?! It is so much to read and look through which made it hard for me to make a decision. The disclaimers at the bottom of the ""side dishes"" page are a little weird to me too. Prices subject to change WITHOUT notice? How are you going to tell me that my $40 steak now costs $50 when it doesn't say it on the menu or anywhere? I'm sure if the prices ever do change like that you will get a lot of complaints because people like to know what they're paying for something before they buy it. Also, what's up with the tip notice? When I read that I think it says that you add 18% to the bill for parties of 8 or more but you don't have to pay it if you don't want to? Why add the 18% then? I don't know, maybe it's just me or the wording seems a bit off. Also, ouch, prices are a bit high in my opinion... but then again they're high everywhere. With that said I ordered the lunch flatbread and salad combo and it was really good. I also got a mocktail which is great when you want something fancy but don't want to drink alcohol. My server, Nicole, was awesome. She gave me good suggestions of what to order when I asked her what her favorite thing on the menu was. She was friendly, attentive but not overly so, and she had my to go order to my table at the perfect time. Thanks Nicole!",4,0.33884259259259264,0.6441049382716049,0.023,0.817,0.16,0.9928
9,"Peter N.Elite 2023Santa Maria, CA","Nicholle did an amazing job!! I really like that the other staff was just as awesome! Despite seeing so many (sometimes Hangry) people, they seem to be good people with good personalities, but maybe we just got lucky.The food was awesome!! Decided to actually have dinner instead of cake and I am glad I did so! I wish I could have ordered 5 different plates if I could because there was so much great variety in the menu!!The ambiance is awesome too because it's been really good music and the background noise blends in really well.",5,0.5491666666666666,0.6283333333333333,0.0,0.655,0.345,0.9928
10,"Sarah T.Elite 23Sacramento, CA",Tried the classic basque cheesecake and it was so good! Can't wait to try the other flavors,4,0.3055555555555556,0.38055555555555554,0.0,0.799,0.201,0.6166
