Index,Comment,CommentReactions,CommentReactionCount,Replies
0,If we’ve already got tickets to the game is there a way to purchase just the scarf?,,,Peter Hoey Currently the scarf can only be purchased with the ticket package.
1,If we’ve already got tickets to the game is there a way to purchase just the scarf?,,,"Peter Hoey Apologies for dropping this here but it feels too great to visit your timeline, i always enjoy what you share here on facebook but we are not friends yet, i have tried several times to send the friend request but its not going through. do you mind trying from your side?i will be happy to be friends with you.if you find this message embarrassing please pardon my manners.thank you and remain blessed"
2,Nicole Mendoza,,,Idalia Mendoza Guerrero I know but Im going to be out of town! 😩
3,Nicole Mendoza,,,"If you go, get me a scarf? 🤞🏼"
4,Nicole Mendoza,,,Nicole Mendoza i clicked the link & it says no tickets. 😭
5,Nicole Mendoza,,,Nicole Mendoza but if I manage to snag one I will!
6,Ohhhhhhh,,,"Erica N Brown Apologies for dropping this here but it feels too great to visit your timeline, i always enjoy what you share here on facebook but we are not friends yet, i have tried several times to send the friend request but its not going through. do you mind trying from your side?i will be happy to be friends with you.if you find this message embarrassing please pardon my manners.thank you and remain blessed"
7,Is there anyway just to purchase the scarves?,,,Kevin Winter Currently the scarf can only be purchased with the ticket package.
8,Angeline Luong Tina Luong Linda Luong-Saeteurn,,,Samuel S Saeteurn - Wanna go?
9,Angeline Luong Tina Luong Linda Luong-Saeteurn,,,Linda Luong-Saeteurn no lol
10,are tickets still available? It doesn't show any.,,,"Alex-a Rosalia Scarves were temporarily sold out, which affected this specific ticket package. Working on getting more scarves and having the link back up. Timing tbd. Thank you."
11,No tickets available via that link 😬,,,"Jacob Wayne Mickelson-Steel
e Thanks for letting us know. We're looking into it."
12,No tickets available via that link 😬,,,"Jacob Wayne Mickelson-Steel
e The issue has been resolved. Thank you!"
13,No tickets available via that link 😬,,,"Jacob WayneApologies for dropping this here but it feels too great to visit your timeline, i always enjoy what you share here on facebook but we are not friends yet, i have tried several times to send the friend request but its not going through. do you mind trying from your side?i will be happy to be friends with you.if you find this message embarrassing please pardon my manners.thank you and remain blessed Mickelson-Steel
e"
