Index,AlbumName
0,Meteora 20th Anniversary Edition
1,Hybrid Theory (20th Anniversary Edition)
2,One More Light Live
3,One More Light
4,The Hunting Party: Acapellas + Instrumentals
5,The Hunting Party
6,RECHARGED
7,LIVING THINGS: Acapellas and Instrumentals
8,LIVING THINGS
9,A Thousand Suns Live Around the World
10,Minutes to Midnight Live Around the World
11,Meteora Live Around the World
12,Hybrid Theory Live Around the World
13,A Thousand Suns
14,Road to Revolution (Live at Milton Keynes)
15,Minutes to Midnight (Deluxe Edition)
16,Minutes to Midnight
17,Live in Texas
18,Meteora (Bonus Edition)
19,Reanimation
20,Hybrid Theory (Bonus Edition)
