Index,ArtistName,ArtistPopularity,ArtistGenres,SongName,SongPopularity,AlbumName
0,Five Finger Death Punch,73,"['alternative metal', 'groove metal', 'nu metal']",Ashes,42,The Way of the Fist
1,Five Finger Death Punch,73,"['alternative metal', 'groove metal', 'nu metal']",The Way of the Fist,45,The Way of the Fist
2,Five Finger Death Punch,73,"['alternative metal', 'groove metal', 'nu metal']",Salvation,28,The Way of the Fist
3,Five Finger Death Punch,73,"['alternative metal', 'groove metal', 'nu metal']",The Bleeding,37,The Way of the Fist
4,Five Finger Death Punch,73,"['alternative metal', 'groove metal', 'nu metal']",A Place to Die,38,The Way of the Fist
5,Five Finger Death Punch,73,"['alternative metal', 'groove metal', 'nu metal']",The Devil's Own,41,The Way of the Fist
6,Five Finger Death Punch,73,"['alternative metal', 'groove metal', 'nu metal']",White Knuckles,44,The Way of the Fist
7,Five Finger Death Punch,73,"['alternative metal', 'groove metal', 'nu metal']",Death Before Dishonor,46,The Way of the Fist
8,Five Finger Death Punch,73,"['alternative metal', 'groove metal', 'nu metal']",Can't Heal You,38,The Way of the Fist
9,Five Finger Death Punch,73,"['alternative metal', 'groove metal', 'nu metal']",Meet the Monster,43,The Way of the Fist
10,Five Finger Death Punch,73,"['alternative metal', 'groove metal', 'nu metal']",Never Enough,54,The Way of the Fist
11,Five Finger Death Punch,73,"['alternative metal', 'groove metal', 'nu metal']",Stranger Than Fiction,41,The Way of the Fist
12,Five Finger Death Punch,73,"['alternative metal', 'groove metal', 'nu metal']",The Bleeding (Acoustic),42,The Way of the Fist
