Index,SongName,AlbumName
0,Foreword,Meteora 20th Anniversary Edition
1,Don't Stay,Meteora 20th Anniversary Edition
2,Somewhere I Belong,Meteora 20th Anniversary Edition
3,Lying from You,Meteora 20th Anniversary Edition
4,Hit the Floor,Meteora 20th Anniversary Edition
5,Easier to Run,Meteora 20th Anniversary Edition
6,Faint,Meteora 20th Anniversary Edition
7,Figure.09,Meteora 20th Anniversary Edition
8,Breaking the Habit,Meteora 20th Anniversary Edition
9,From the Inside,Meteora 20th Anniversary Edition
10,Nobody's Listening,Meteora 20th Anniversary Edition
11,Session,Meteora 20th Anniversary Edition
12,Numb,Meteora 20th Anniversary Edition
13,Don't Stay - Live In Texas,Meteora 20th Anniversary Edition
14,Somewhere I Belong - Live In Texas,Meteora 20th Anniversary Edition
15,Lying from You - Live In Texas,Meteora 20th Anniversary Edition
16,Papercut - Live In Texas,Meteora 20th Anniversary Edition
17,Points of Authority - Live In Texas,Meteora 20th Anniversary Edition
18,Runaway - Live In Texas,Meteora 20th Anniversary Edition
19,Faint - Live In Texas,Meteora 20th Anniversary Edition
20,From the Inside - Live In Texas,Meteora 20th Anniversary Edition
21,Figure.09 - Live In Texas,Meteora 20th Anniversary Edition
22,With You - Live In Texas,Meteora 20th Anniversary Edition
23,By Myself - Live In Texas,Meteora 20th Anniversary Edition
24,P5hng Me A*Wy - Live In Texas,Meteora 20th Anniversary Edition
25,Numb - Live In Texas,Meteora 20th Anniversary Edition
26,Crawling - Live In Texas,Meteora 20th Anniversary Edition
27,In the End - Live In Texas,Meteora 20th Anniversary Edition
28,A Place for My Head - Live In Texas,Meteora 20th Anniversary Edition
29,One Step Closer - Live In Texas,Meteora 20th Anniversary Edition
30,Session - Live In Nottingham 2003,Meteora 20th Anniversary Edition
31,Don't Stay - Live In Nottingham 2003,Meteora 20th Anniversary Edition
32,Somewhere I Belong - Live In Nottingham 2003,Meteora 20th Anniversary Edition
33,Lying from You - Live In Nottingham 2003,Meteora 20th Anniversary Edition
34,Papercut - Live In Nottingham 2003,Meteora 20th Anniversary Edition
