Index,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,AfterLife,1,1linrfCmITmQHs4enAxTUY,Welcome To The Circus,spotify:track:1linrfCmITmQHs4enAxTUY,7.62e-05,0.489,0.987,0.0,0.788,-4.57,0.0806,139.982,0.297,71
1,AfterLife,2,40gGeC397vLmz4eETZDSrG,AfterLife,spotify:track:40gGeC397vLmz4eETZDSrG,0.000655,0.472,0.989,4.87e-06,0.341,-4.214,0.0597,93.985,0.327,63
2,AfterLife,3,6bo13cPb5M0B6LhQEl0A3E,Times Like These,spotify:track:6bo13cPb5M0B6LhQEl0A3E,0.0102,0.437,0.935,0.0,0.135,-4.278,0.0675,73.722,0.593,66
3,AfterLife,4,2EwMqSMpU9nTkdB0pIExdX,Roll Dem Bones,spotify:track:2EwMqSMpU9nTkdB0pIExdX,0.000115,0.345,0.992,0.0,0.334,-4.063,0.131,195.056,0.361,53
4,AfterLife,5,6sMOYEbYigMVoIVNyNEIPN,Pick Up Behind You,spotify:track:6sMOYEbYigMVoIVNyNEIPN,2.51e-05,0.443,0.976,0.0,0.54,-4.035,0.0919,95.011,0.453,53
5,AfterLife,6,28pN19lOLb7o6CZlCAcflX,Judgment Day,spotify:track:28pN19lOLb7o6CZlCAcflX,0.000418,0.528,0.929,0.0,0.258,-4.874,0.073,148.089,0.509,63
6,AfterLife,7,0rqRkmrlWyuhSUqJKvf8SK,IOU,spotify:track:0rqRkmrlWyuhSUqJKvf8SK,0.000145,0.526,0.986,0.0132,0.111,-5.094,0.0893,136.063,0.293,55
7,AfterLife,8,1pZwsIB2ogBnbjydoIHQnL,Thanks For Asking,spotify:track:1pZwsIB2ogBnbjydoIHQnL,0.00555,0.626,0.828,0.0,0.0683,-4.576,0.0277,100.037,0.697,60
8,AfterLife,9,2NI3MmhQ258DVaXZKmn3S3,Blood And Tar,spotify:track:2NI3MmhQ258DVaXZKmn3S3,2.62e-05,0.495,0.995,7.35e-06,0.0789,-4.599,0.102,94.956,0.23,50
9,AfterLife,10,3Q90tQQevxxirs4vcIcMkc,All I Know,spotify:track:3Q90tQQevxxirs4vcIcMkc,0.00824,0.486,0.911,0.0,0.124,-5.214,0.0566,155.953,0.308,53
10,AfterLife,11,2KKWuaaO9srUuzHwlRX7Xc,Gold Gutter,spotify:track:2KKWuaaO9srUuzHwlRX7Xc,2.12e-05,0.459,0.981,0.0,0.188,-4.064,0.0784,144.934,0.527,50
11,AfterLife,12,6hbAVcAB0mQVXMPubZnwuL,The End,spotify:track:6hbAVcAB0mQVXMPubZnwuL,0.00106,0.499,0.914,0.0,0.13,-4.748,0.0566,80.049,0.345,64
13,"A Decade of Destruction, Vol.2",2,3wkn9jTwSUViQdPXTqt7sh,The Tragic Truth,spotify:track:3wkn9jTwSUViQdPXTqt7sh,0.00295,0.468,0.924,0.0,0.139,-4.485,0.0669,155.992,0.579,26
14,"A Decade of Destruction, Vol.2",3,4dIeaB1uug4Y3sFOZEmLI3,Broken World,spotify:track:4dIeaB1uug4Y3sFOZEmLI3,0.000735,0.357,0.985,0.0,0.0439,-3.617,0.133,198.365,0.328,39
15,"A Decade of Destruction, Vol.2",4,39gnGZr2fM13I9wjPASiYv,I Refuse,spotify:track:39gnGZr2fM13I9wjPASiYv,0.0472,0.512,0.851,0.0,0.0951,-5.662,0.0592,155.004,0.377,26
25,"A Decade of Destruction, Vol.2",14,4jKEABb4jTbAdHYwJxEiqS,Wrong Side of Heaven (Acoustic),spotify:track:4jKEABb4jTbAdHYwJxEiqS,0.22,0.417,0.605,0.0,0.126,-8.137,0.0308,149.798,0.435,44
