text,start,duration
[Mechanicus OST - Children of the Omnissiah],0.26,5.86
Welcome back to Warhammer. There are no Space Marines this time around.,56.52,3.16
"Instead, this game has you playing as the Adeptus Mechanicus. And you're on a field trip / home invasion to rob the Necrons.",59.68,5.32
That may have sounded like gibberish...,65.0,1.58
The Mechanicus have been in some games. Usually with the Imperial Guard; but they're not the Imperial Guard-,66.58,4.04
"Okay, picture Inspector Gadget, but he's a monk, and he fixes your car.",70.62,3.8
"Okay, I'll get into the lore...",74.42,1.22
"I'm going to assume you know about the Imperium of Man and all that. The Mechanicus works with the Guard, but they're not part of the Guard.",75.64,5.06
"Like, picture Amazon; Imagine it has a giant government contract.",80.7,3.5
"Not only do they make and sell knick-knacks and random stuff,",84.2,2.42
"they also make cars, tanks, guns, ships, and everything else you need to wage a war and also just run the economy in general.",86.62,5.08
"That's them, and there is no competition.",91.7,2.04
"They make most every gun and vehicle in the Imperial military, so their organization has a lot of sway.",93.74,4.48
"This is because when the Imperium was being founded on Earth, they already had their own Empire on Mars.",98.22,4.06
They only joined up because their organization was given a ton of autonomy.,102.28,2.82
"They got challenged here and there, but we don't have time for those stories.",105.1,2.58
"So, as virtually the only research and manufacturing center, they get up to stuff.",107.68,3.42
"Sometimes, their experiments have... questionable legality.",111.1,2.84
*HERESY.OGG*,113.94,1.94
[buzz],115.88,0.5
"No, they don't get bothered much.",116.38,1.64
"Lets say some smug commissar tries to tell on them for, say, making an A.I.",118.02,3.8
"Well, they can just say ""It's not an A.I. there's a human brain in there! How do you know!?""",121.82,3.8
"""I... I pROmiSe...""",125.62,1.34
"Even if you manage to get them in trouble, they might start having “manufacturing issues”. And then they can’t send you vehicles and weapons anymore.",126.96,6.08
Then all your men get eaten by bugs or demons or something.,133.04,2.44
Because this won't work without this.,135.48,1.66
"Okay, simple enough.",137.14,1.3
"Now, most of the best stuff is hoarded by the Ad-Mech's private army.",138.44,2.88
They're always looking to recover old technology or discover new ones.,141.32,3.0
"And there happens to be an ancient alien race with hyper-advanced technology, and entire tombs of it.",144.32,4.6
These are the Necrons.,148.92,1.44
So what is a Necron?,150.36,1.4
"Well, they're Terminators, in space, who hate all life.",151.76,2.8
"At least they used to be. Now they have different dynasties and agendas, and they're basically undead space Egyptians",154.56,4.6
So that's fresh.,159.16,1.3
*coughs in Nehekhara*,160.46,0.54
"Necrons have fancy things, the Ad-Mech wants to touch all of it.",161.0,2.62
"""Mechanicus"" is all about one of those expeditions.",163.62,2.24
