Index,search_keyword,url,name,title,description,TextBlob Polarity Score,TextBlob Subjectivity Score,Vader Negative Polarity Score,Vader Neutral Polarity Score,Vader Positive Polarity Score,Vader Compound Polarity Score,Flesch Reading Ease Score,Gunning_Fog Score
0,tim gunn,https://i.pinimg.com/474x/ae/4f/70/ae4f70989fbd1a3838c0b539b10a2204--tim-gunn-vegan-fashion.jpg,ae4f70989fbd1a3838c0b539b10a2204--tim-gunn-vegan-fashion.jpg,Tim Gunn xox: A fashion show at Stanford.,One of the coolest things about living in the Bay Area is being able to participate in the attention that is given to us by the Fashion & Beauty …,0.5,0.625,0.0,0.884,0.116,0.5859,59.98,12.63
1,tim gunn,https://i.pinimg.com/474x/63/d8/71/63d871cfded837e4c208f03796ad77e8--tim-gunn-project-runway.jpg,63d871cfded837e4c208f03796ad77e8--tim-gunn-project-runway.jpg,Third Annual 100 Most Eligible Bachelors,Vote for the guys you would most want to date.,0.5,0.5,0.0,0.85,0.15,0.1513,112.09,4.0
2,tim gunn,https://i.pinimg.com/474x/0e/dd/1e/0edd1ec239bc7567c319649eec1f9a7f--womens-closet-tim-gunn.jpg,0edd1ec239bc7567c319649eec1f9a7f--womens-closet-tim-gunn.jpg,Tim Gunn,"Timothy M. Gunn, born July 29, 1953, is an American fashion consultant and television personality. He was on the faculty of Parsons The New School for Design from 1982 to 2007 and was chair of fashion design at the school from August 2000 to March 2007, after which he joined Liz Claiborne as its chief creative officer. He is well-known as on-air mentor to designers on the reality television program Project Runway. Gunn's popularity on Project Runway led to his spin-off show, Bravo's Tim Gunn's G",0.2121212121212121,0.4848484848484848,0.0,0.933,0.067,0.7184,58.11,12.32
3,tim gunn,https://i.pinimg.com/474x/ca/bc/9a/cabc9a56d45b5732f7293dd4f4daaadc--project-runway-dresses-leanne-marshall.jpg,cabc9a56d45b5732f7293dd4f4daaadc--project-runway-dresses-leanne-marshall.jpg,Leanne Marshall - Runway - Spring 2016 New York Fashion Week: The Shows,"A model walks the runway at the Leanne Marshall fashion show during Spring 2016 New York Fashion Week: The Shows at Art Beam on September 10, 2015 in New York City. on September 10, 2015 in New York City.",0.1363636363636363,0.4545454545454545,0.0,1.0,0.0,0.0,77.06,7.8
4,tim gunn,https://i.pinimg.com/474x/2e/9b/dd/2e9bdd5392497d37e499a005b6a131cb--plus-size-model-project-runway.jpg,2e9bdd5392497d37e499a005b6a131cb--plus-size-model-project-runway.jpg,First look: Project Runway's Ashley Nell Tipton brings plus-sized style to JCPenney,"And she doesn't care what you call it, as long as it fits.",-0.05,0.4,0.18,0.82,0.0,-0.3875,100.58,5.2
5,tim gunn,https://i.pinimg.com/474x/d5/43/0c/d5430c097238d8c609e4abf05a401b92--project-runway-tim-gunn.jpg,d5430c097238d8c609e4abf05a401b92--project-runway-tim-gunn.jpg,The Knot - Your Personal Wedding Planner,"Everything you need to plan your wedding, literally! Wedding dresses, planning tools, wedding ideas, inspiration, photos, plus the best wedding vendors.",1.0,0.3,0.0,0.707,0.293,0.8356,43.9,8.01
6,tim gunn,https://i.pinimg.com/474x/e9/b5/69/e9b569c1e310f1e796d248d358afa0ee--magazine-articles-time-magazine.jpg,e9b569c1e310f1e796d248d358afa0ee--magazine-articles-time-magazine.jpg,10 Questions for Tim Gunn,"The host of Tim Gunn's Guide to Style mentors young designers in a new season of Project Runway, debuting July 16. Tim Gunn will now take your questions",0.1181818181818181,0.4272727272727272,0.0,1.0,0.0,0.0,82.65,8.46
7,tim gunn,https://i.pinimg.com/474x/8a/87/d0/8a87d0e07d551a24959fd9e8dfa63067--tim-gunn-project-runway.jpg,8a87d0e07d551a24959fd9e8dfa63067--tim-gunn-project-runway.jpg,Poor Thang: Tim Gunn Of Project Runway Hasn’t Had Sex In 29 Years,29 years?!?!?!,0.0,0.0,0.0,1.0,0.0,0.0,120.21,0.8
8,tim gunn,https://i.pinimg.com/474x/bf/fd/98/bffd98b5e24b188892688fc9c6d5fb0e--duct-tape-dress-college-scholarships.jpg,bffd98b5e24b188892688fc9c6d5fb0e--duct-tape-dress-college-scholarships.jpg,Stuck At Prom: Duct Tape Attire Scholarships,"Learn about Stuck At Prom, a duct tape scholarship contest. We award scholarships to high schoolers who make the best prom attire out of Duck Brand Duct Tape.",0.58,0.4199999999999999,0.058,0.72,0.222,0.7717,82.65,8.46
9,tim gunn,https://i.pinimg.com/474x/d0/11/84/d01184dd984728319cefd86e08cfe11c--project-runway-dresses-bridal-gown-styles.jpg,d01184dd984728319cefd86e08cfe11c--project-runway-dresses-bridal-gown-styles.jpg,The Wedding Gown,"Project Runway Bridal Gown Inspiration ""Project Runway"" started airing in 2004 and we can thank the reality series for introducing us to lists of talented fashion designers. Eli Holzman is the brains behind the riveting show that was formerly hosted by Heidi Klum. Tim Gunn, who was a faculty member at the Parsons School of Design, also won fans over as the contestant's design mentor. Christian Siriano won the fourth season, and he is perhaps the most successful “Project Runway” alum. In the sh",0.25625,0.50625,0.0,0.79,0.21,0.967,62.88,11.48
