Index,Posting,PosterName,PostingDate,NumberofLikes,NumberofComments,NumberofReposts,NumberofOrganicImpressions,Comments,Commenters
1," ðŸŒŸ Celebrating Entrepreneurship & Economic Development with City of Roseville Proclamation of Global Entrepreneurship Week Sacramento! ðŸŒŸYesterday the City of Roseville officially recognized Global Entrepreneurship Week Sacramento with a special proclamation. Cameron R. Law, representing the Carlsen Center for Innovation & Entrepreneurship, was there to accept this recognition and share a bit about #GEW2023 and its role in fostering entrepreneurial activity. ðŸ†This proclamation signifies the vital role #entrepreneurship plays in fueling economic growth and innovation in our region. We are incredibly proud to be a part of this journey, fostering connections, inspiring innovation, and championing the entrepreneurial spirit. ðŸš€Here's a glimpse of the proclamation acceptance speech from Cameron Law, highlighting the impact of entrepreneurship on our community's economic development:We extend our heartfelt thanks to the City of Roseville for this recognition and support, and we look forward to an inspiring and impactful Global Entrepreneurship Week this year! ðŸ—“ï¸#GEW #Entrepreneurship #EconomicDevelopment #Innovation #Recognition #Roseville #CarlsenCenter #ImpactfulJourneyGlobal Entrepreneurship Network Global Entrepreneurship Week California Right to Start Growth Factory Sacramento Entrepreneurial Growth Alliance StartupSac NorCal Entrepreneur HubR. Scott Alvord Krista Bernasconi Bruce Houdesheldt Pauline Roccucci Tracy Mendonsa Melissa Anguiano Wayne Wiley Monique Brown Jason Grill Cecilia Wessinger",CameronR.Law,11/2/2023,12,3,1,98,"What a great news for the Greater Sacramento Startup Region. Thank you. Roseville, Cameron Law and the Carlsen Center for Innovation & Entrepreneurship! The commitment to startup excellence is shining through!, Dick Gourley, thank you for the comment! I concur it is great recognition of the role startups play in advancing our region. Join us for the Sacramento Entrepreneurial State of the Union.","Dick Gourley, Cameron Law, Carlsen Center for Innovation & Entrepreneurship"
2," Join us for an early Global Entrepreneurship Week Sacramento event led by Metro EDGE featuring Kwame Anku, Founding Managing Partner and Chief Investment Officer of the Black Star Fund and one of our esteemed Carlsen Center Advisory Board Members!Kwame will discuss Life, Love, and Business! This is a not to miss opportunity to learn about his story and path to where he is today as a global leader in investment and innovation!The event will take place on Thursday, Nov. 9th at the Carlsen Center at California State University-Sacramento!Register Here: https://lnkd.in/epn_vhpm#innovation #keynotespeaker #life #love #business #KwameAnku #SacramentoProudSacramento Metro Chamber Sacramento MetroBusiness Center Leadership Sacramento Sacramento Asian Pacific Chamber of Commerce Sacramento Black Chamber of Commerce Sacramento Hispanic Chamber of Commerce ",CameronR.Law,11/2/2023,11,3,2,342,An amazing opportunity! I look forward to seeing you all there! Cameron Law Thank you sir! I have heard Kwame speak. You are all in for a treat,"Cameron Law, Kwame Anku, Mark Takata"
3," Exciting News! Global Entrepreneurship Week Sacramento Events! ðŸŒŽ Don't miss out on a week filled with #innovation, #inspiration, and #collaboration! ðŸ“† From November 13th to 17th, we're hosting a fantastic array of events for Global Entrepreneurship Week Sacramento. Whether you're an aspiring entrepreneur, seasoned pro, or just eager to learn, there's something for you. Mark your calendars, explore the full event list, and get ready to be inspired! ðŸŒŸ Explore events here: https://lnkd.in/gtyxNC2tThank you to our #GEW2023 Sponsors!Title: Western Health AdvantageAngel Sponsors: SMUD and Sand Hill Global AdvisorsStartup Sponsor: Five Star Bank - CaliforniaIdea Sponsors: City of Roseville, Golden 1 Credit Union, and College of Continuing Education (CCE) at Sacramento State#GEW2023 #Innovation #EntrepreneurshipSacramento Entrepreneurial Growth Alliance Greater Sacramento Economic Council StartupSac Growth Factory NorCal Entrepreneur Hub FourthWave.io Startup Challenge Sacramento Business Journal Comstock's Magazine California State University-Sacramento Sacramento State College of Business Administration Sacramento State EMBA Sacramento Asian Pacific Chamber of Commerce Sacramento Black Chamber of Commerce Sacramento Hispanic Chamber of Commerce Startup Folsom Choose Folsom  AgStart CleanStart Sacramento Entrepreneurship AcademyLaura Good Monique Brown Donna â€œBasicTaqâ€ Walters, MBA May Chinavanichkit Hayden Kandul ðŸ·Christy Serrato Michael Freedman Dick Gourley John Selep Thomas Hall Rich Foreman ",CameronR.Law,11/1/2023,7,0,4,109,,
4," We just learned of this last-minute opportunity out of Princeton University -- #AggieInnovators encouraged to apply! Deadline is 11:59 p.m. tomorrow but the application is not onerous. Take a look!TigerLaunchÂ is the world's largest student-run entrepreneurship competition, and will be hosting regionals in NYC, California, Texas, Singapore, London, Paris, and India this year! Contestants get chosen for selective accelerator programs such as Y Combinator and have the opportunity to receive feedback from top VCs around the world. Best of all, TigerLaunch is all-expenses-paid and winners will receive $60,000 in no-strings-attached funding. Learn more and apply:https://tigerlaunch.com/Â Questions? Reach out to co-directors Sophia Shepherd or Richard Gomez.ðŸ“· : Image file with black text on an orange background encouraging student entrepreneurs to learn about and apply to the TigerLaunch Pitch Competition.UC Davis Student Startup Center | Sacramento Entrepreneurship Academy | Carlsen Center for Innovation & Entrepreneurship | Water, Energy and Technology (WET) Center ",CameronR.Law,11/1/2023,4,1,2,0,Thanks for the post! Applications are due tonight! Apply now!,TigerLaunch
5," ðŸš€ Don't Miss the Mentor Sprint during Global Entrepreneurship Week Sacramento! ðŸš€Are you a #startup #founder or #entrepreneur looking for expert guidance? Join us for the Mentor Sprint during Global Entrepreneurship Week on November 15th following 1 Million Cups Sacramento!ðŸ”¹ What to Expect:- Connect with at least 3 experienced startup mentors.- Get insights and advice in speedy 15-minute sessions.- Find solutions to your current business challenges.- Expand your network with seasoned advisors and investors.Don't miss this opportunity to accelerate your startup journey. Save your spot now: https://lnkd.in/gvRB2-ugðŸ“… Date: November 15th, 10:30 AM - 12 PMðŸ“ Location: Carlsen Center for Innovation & Entrepreneurship at Sacramento StateGet ready to gain valuable insights and supercharge your entrepreneurial path during this exciting event!This event is run in partnership with StartupSac!Thank you to our #GEW2023 Sponsors!Title: Western Health AdvantageAngel Sponsors: SMUD and Sand Hill Global AdvisorsStartup Sponsor: Five Star Bank - CaliforniaIdea Sponsors: City of Roseville, Golden 1 Credit Union, and College of Continuing Education (CCE) at Sacramento State#MentorSprint #Entrepreneurship #StartupAdvice #StartupMentors #GlobalEntrepreneurshipWeekGrowth Factory Sacramento Valley SBDC Sacramento Asian Pacific Chamber of Commerce Sacramento Black Chamber of Commerce Sacramento Hispanic Chamber of Commerce SBA Sacramento District Office California Office of the Small Business Advocate (CalOSBA) CleanStart AgStart Sacramento Entrepreneurship Academy Sacramento Entrepreneurial Growth Alliance FourthWave.io Arlene J. Miranda Laura Good Cameron R. Law Monique Brown Donna â€œBasicTaqâ€ Walters, MBA SiewYee Lee Pat Fong Kushida Azizza Davis Goines Kaifa Yates Juan P. Novello Cathy Rodriguez Aguirre Oksana Zubrytska Heather Luzzi Jermaine Carter-Gibson Thomas Hall ðŸ·Christy Serrato",CameronR.Law,10/31/2023,5,0,3,45,,
6," Congrats to GSEC Board Member, Cameron R. Law  being awarded the Ecosystem Champion Compass Award by the Global Entrepreneurship Network (GEN) for his outstanding commitment and achievement to drive the positive, long-term and inclusive growth of our local ecosystem through programs and education to advance innovation and support #startups.ðŸ‘ðŸ†ðŸŽ‰Learn more about the award: https://lnkd.in/et9D8_5MðŸ“¸: Sacramento Business Journal",CameronR.Law,10/31/2023,108,33,2,0,"Thank you, Greater Sacramento Economic Council, for sharing! Excited about the future of our startup community and entrepreneurial ecosystem! Let's keep fueling our regional momentum!, Congragulations Cameron Law!! You are the man! Thank you! Congragulations Cameron Law! Well-deserved! Thank you Stephanie McGann-Jantzen! I appreciate the kind words. Congragulations on this award Cameron Law! This is a reflection of all your hard work and dedication to other people's success. Giuseppe Sanfillippo thank you for the kind words! Congrats Cameron Law! This is so well deserved! Thank you Mark Beckford Congrats Cameron Law, Appreciate the kind words, Vilien Gomez Congragulations Cameron Law on being awarded the Ecosystem Champion Compass Award! Your dedication to driving positive and inclusive growth in our local ecosystem  is truly inspiring. Thank you, Daveed Sidhu! I look forward to seeing cleantech in teh region continue to grow especially as we look at ZEV innovation. Congratulations Cameron Law! Thank you Joe Ruport! I hope you are doing well. Well deserved Cameron. Congrats! Thank you Michael Jasso! I am grateful for the number of opportunities to collaborate with the City of Sacramento in supporting enrepreneurs. Congragulations Cameron Law!! PAm KAur, thank you! We appreciate your support especially as a Startup Challenge judge ans coach. Great work. Thank you Sal Ramirez. Congragulations Cameron! Well deserved! Leah Burdick, thank you so much! Congragulations Cameron! Thank you Hedi Sanborn! I greatly appreciate the support. So well deserved! Thank you so much Pam Marrone! I am grateful for your support and all that you do to empower entrepreneurs in our region! Congrats, Cameron Law for this well-served recognition! FourthWave thrives because of your dedication to our community and our esteemed collaboration with the Carlsen Center for Innovation & Enrepreneurship. FourthWave thank you for the kind words and partnership! I look forward to seeing our work continue to grow! Thank you for empowering so many amazing women founders! Cameron Law you are inspiring! Congragulations on an award so well deserved. Thank you UC Davis Institute for Innovation and Entrepreneurship! We are grateful for the partnered opportunities at the Carlsen Center for Innovation & Entrepreneurship and the Sacramento Entrepreneurial Growth Alliance. ","Cameron Law,Ethan Bradley, Ethan  Bradley, Stephanie McGann-Jantzen, Cameron Law, Giuseppe Sanfillippo, Cameron Law, Mark Beckford, Cameron Law, Vilien Gomez, Cameron Law, Daveed Sidhu, Cameron Law, Joe Ruport, Cameron Law, Michael Jasso, Cameron Law, Pam Kaur, Cameron Law, Sal Ramirez, Cameron Law, Leah Burdick, Cameron Law, Heidi Sanborn, Cameron Law, Pam Marrone, Cameron Law, FourthWave, Cameron Law, UC Davis Institute for Innovation and Entrepreneurship, Cameron Law"
7," ðŸš€ Last Call: Apply Today for the Spark Venture Competition ðŸš€ðŸ“¢ Today is the FINAL day to submit your application for the Spark Venture Competition! Don't miss your chance to be selected as a finalist and compete for a share of the impressive $20,000 prize pool.Whether you're an early-stage for-profit startup or a social impact champion, there's a track for you. It's your opportunity to kick your growth into high gear or make a difference with your innovative ideas.ðŸ‘‰ Apply now: https://lnkd.in/g9nZcwmQThe competition will take place during Global Entrepreneurship Week SacramentoThank you to our #GEW2023 Sponsors!Title: Western Health AdvantageAngel Sponsors: SMUD and Sand Hill Global AdvisorsStartup Sponsor: Five Star Bank - CaliforniaIdea Sponsors: City of Roseville, Golden 1 Credit Union, and College of Continuing Education (CCE) at Sacramento StateDon't let this opportunity pass you by! Submit your application TODAY!#SparkVentureCompetition #Innovation #Entrepreneurship #Startup #LastCall #GetStartedStartupSac Startup Folsom Sacramento Entrepreneurship Academy Sacramento Entrepreneurial Growth Alliance FourthWave.io 1 Million Cups Sacramento Startup Challenge Sacramento State College of Business Administration Sacramento State EMBA City of Sacramento City of Elk Grove Ansync Labs Growth Factory Choose Folsom Valley Vision Sacramento Valley SBDC Sacramento Asian Pacific Chamber of Commerce Sacramento Black Chamber of Commerce Sacramento Hispanic Chamber of Commerce",CameronR.Law,10/31/2023,5,0,2,35,,
8," ðŸš€ From Our Weekly E-Newsletter: Exciting Updates for Innovators and Entrepreneurs! ðŸš€1. ðŸ¹ Join us this evening for Startup Happy Hour at Tipsy Putt in Downtown Sacramento. Meet fellow innovators, share ideas, and enjoy an AMA with Giri Addanki, CEO of Acorn Finance. Don't miss the fun! - https://lnkd.in/gK3yFgTt2. ðŸŽƒ Halloween Special: We've extended the Spark Venture Competition application deadline to the end of the day on Oct. 31st. Don't miss your chance to win big! Submit your innovative ideas. Apply Here: https://lnkd.in/gkWaqUwb3. ðŸ“… Save the date! From Nov. 7th through Nov. 17th, we have a lineup of over 20 exciting events for Global Entrepreneurship Week Sacramento powered by Western Health Advantage. Mark your calendars and register today. Learn more - https://lnkd.in/eFsBHzyStay connected with us and never miss an opportunity for growth and innovation. Check out our weekly e-newsletter for more info:https://lnkd.in/g2vxut4qGlobal Entrepreneurship Week Sponsors - Thank you!Title: Western Health AdvantageAngel Sponsors: SMUD and Sand Hill Global AdvisorsStartup Sponsor: Five Star Bank - CaliforniaIdea Sponsors: City of Roseville, Golden 1 Credit Union, and College of Continuing Education (CCE) at Sacramento State#StartupHappyHour #SparkVentureCompetition #GEW #Innovation #Entrepreneurship #OpportunityStartupSac Sacramento Entrepreneurial Growth Alliance Greater Sacramento Economic Council Growth Factory AgStart CleanStart California Mobility Center Sacramento Metro Chamber Sacramento MetroBusiness Center Sacramento Entrepreneurship Academy Sacramento Business Journal The Hive CSUS UC Davis Student Startup Center UC Davis Venture Catalyst UC Davis Institute for Innovation and Entrepreneurship",CameronR.Law,10/30/2023,7,0,2,255,,
9," ðŸ“£ Last Call for the Spark Venture Competition! Today is the final day to submit your innovative ideas for a chance to win big. ðŸš€ðŸ¤ We at the Carlsen Center are proud to host this regional competition during Global Entrepreneurship Week Sacramento, this competition offers an impressive $20,000 prize pool. Whether you're a for-profit startup or a social impact champion, there's a track for you.Don't miss out on this incredible opportunity to make your startup dreams a reality. Submit your application now:https://lnkd.in/g9nZcwmQTitle: Western Health AdvantageAngel Sponsors: SMUD and Sand Hill Global AdvisorsStartup Sponsor: Five Star Bank - CaliforniaIdea Sponsors: City of Roseville, Golden 1 Credit Union, and College of Continuing Education (CCE) at Sacramento State#SparkVentureCompetition #Innovation #Startup #Entrepreneurship #FinalCall StartupSac Growth Factory AgStart CleanStart FourthWave.io Sacramento Entrepreneurial Growth Alliance Greater Sacramento Economic Council Sacramento Entrepreneurship Academy Sacramento Metro Chamber Valley Vision Sacramento Asian Pacific Chamber of Commerce Sacramento Black Chamber of Commerce Sacramento Hispanic Chamber of Commerce Sacramento State College of Business Administration Sacramento State EMBA UC Davis Venture Catalyst UC Davis Student Startup Center UC Davis Institute for Innovation and Entrepreneurship NorCal Entrepreneur Hub Sacramento Angels Moneta Ventures DiverseCity Ventures",CameronR.Law,10/27/2023,7,0,2,112,,
10," ðŸš€ Ready for an exciting evening of networking and insights? Join us for Startup Happy Hour, featuring an Ask Me Anything (AMA) session with Giri Addanki, Founder and CEO of Acorn Finance. ðŸŒ†At Startup Happy Hour, you can:- Network with like-minded innovators.- Share your ideas and potentially find your next business partner.- Enjoy delicious food and drinks (thanks to the City of Sacramento).Giri will take you through his founder journey and answer your questions about building a company and securing funding. Don't miss this opportunity to expand your network and have a great time. RSVP now to save your spot! ðŸŽ‰Hosted by StartupSac and the Carlsen Center for Innovation and Entrepreneurship.ðŸ“… When: Monday, Oct. 30thðŸ•• Time: 5 to 7 pmðŸ“ Where: Tipsy Putt, Downtown SacramentoðŸŽŸï¸ RSVP: https://lnkd.in/gK3yFgTt#StartupHappyHour #AMA #Entrepreneurship #Networking #SacramentoEvents #Innovators #StartupCommunityStartup Folsom Growth Factory Sacramento Entrepreneurial Growth Alliance Sacramento Entrepreneurship Academy NorCal Entrepreneur Hub 1 Million Cups Sacramento Sacramento Metro Chamber Sacramento MetroBusiness CenterLaura Good Arlene J. Miranda Donna â€œBasicTaqâ€ Walters, MBA ðŸ·Christy Serrato Michael Freedman May Chinavanichkit Kyla Bryant Madeline Barbour Aubree Smith",CameronR.Law,10/26/2023,10,0,2,67,,
