text,likesCount,TextBlob Polarity Score,TextBlob Subjectivity Score,Vader_Neg,Vader_Neu,Vader_Pos,Vader_Com
I love the Cheesecake Factory. I have never had a bad experience there!,27,-0.1874999999999999,0.6333333333333333,0.0,0.6,0.4,0.8096
"Had an awful time Saturday night, thank goodness our waitress was great.",2,-0.09999999999999998,0.875,0.146,0.388,0.466,0.765
Bring back the mushroom soup!,41,0.0,0.0,0.0,1.0,0.0,0.0
FACT,5,0.0,0.0,0.0,1.0,0.0,0.0
Bring back Boston House Salad,8,0.0,0.0,0.0,1.0,0.0,0.0
It’s real Long now many choices I love it.,5,0.30833333333333335,0.5666666666666668,0.0,0.656,0.344,0.6369
"When our daughter worked at The Cheesecake Factory Corporate Office in LA, she would bring a whole cheesecake when she flew back to florida.  We always looked forward to her visits! 😉",6,0.06666666666666667,0.13333333333333333,0.0,1.0,0.0,0.0
Bring back spicy cashew chicken,8,-0.3,0.475,0.0,1.0,0.0,0.0
Can’t wait for the new location in coconut Creek Florida to open next month.,4,0.04545454545454545,0.3181818181818182,0.0,1.0,0.0,0.0
Bring back the shrimp blt!,7,0.0,0.0,0.0,1.0,0.0,0.0
Bring back the stuffed cheddar burger 😡,1,0.0,0.0,0.0,1.0,0.0,0.0
Bring back the different soup for every day of the week.,4,0.0,0.3,0.0,1.0,0.0,0.0
Fact,1,0.0,0.0,0.0,1.0,0.0,0.0
I miss the salmon fire cracker rolls,10,0.0,0.0,0.444,0.556,0.0,-0.4588
Bring back the tons of fun burger.,6,0.15,0.1,0.0,0.645,0.355,0.5106
Please bring back the Luau and Boston Bibb Salads.,2,0.0,0.0,0.0,0.777,0.223,0.3182
Bring back Grilled Artichokes!,3,0.0,0.0,0.0,1.0,0.0,0.0
"Idk. Bring back the chicken teriyaki, then we’ll talk.",0,-0.3,0.475,0.149,0.851,0.0,-0.1027
Probably fact,2,0.0,0.0,0.0,1.0,0.0,0.0
Not anymore!,2,0.0,0.0,0.0,1.0,0.0,0.0
Bring back the 2 page menu!,8,0.0,0.0,0.0,1.0,0.0,0.0
Fact,3,0.0,0.0,0.0,1.0,0.0,0.0
I can’t say for sure as I was 2 but later it was long,3,0.15,0.4296296296296296,0.0,0.887,0.113,0.1655
"Come to Myrtle Beach, SC",2,0.0,0.0,0.0,1.0,0.0,0.0
"Fiction.  Even when Covid and the resulting supply chain problems struck, the abridged menu was still 47 pages long…😆",3,0.1,0.5,0.179,0.725,0.095,-0.296
True?,2,0.35,0.65,0.0,0.0,1.0,0.4215
True!,2,0.4375,0.65,0.0,0.0,1.0,0.4753
