CommentID,UserID,Comment,Number_of_Likes,Number_of_Replies,Updated_At,TextBlob Polarity Score,TextBlob Subjectivity Score,Vader_Neg,Vader_Neu,Vader_Pos,Vader_Com,Flesch Reading Ease Score,Gunning_Fog Score,Sarcasm,Emotion
UgzXe8M33VDQR24twlB4AaABAg,@eliassj6904,create video,1761,13,2021-04-09T14:13:33Z,0.0,0.0,0.0,0.323,0.677,0.2732,77.91,0.8,0,sadness
Ugy6oubR-K7Jw0vv8m94AaABAg,@christhechilled,"<a href=""https://www.youtube.com/watch?v=1MZEvcHipP8&amp;t=21m25s"">21:25</a> I couldn’t help but laugh at this point of the video 😂😂😂",0,0,2023-12-10T20:05:02Z,0.3,0.1,0.143,0.405,0.452,0.9601,75.2,5.2,0,guilt
UgwwfF57x-18Dp4NTp94AaABAg,@RocRolDis,"Gurren Lagann:  Fuck it!  We ball!<br>Evangelion: Fuck you, we&#39;re balls...",0,0,2023-12-08T21:43:52Z,-0.45,0.6,0.487,0.513,0.0,-0.8217,66.4,6.0,1,sadness
UgxHvJKgTKSo3IFtQcR4AaABAg,@ezequiel6575,"<a href=""http://www.youtube.com/results?search_query=%23dontrecreatetheendofevangelion"">#dontrecreatetheendofevangelion</a> should be trending every week",0,0,2023-12-04T14:57:16Z,0.0,0.0,0.0,1.0,0.0,0.0,-164.06,14.23,1,sadness
UgyEcdfSMg2G9EW-e894AaABAg,@calebe4266,"I hate to be preechie, but you know, despite of the view on religion TTGL brings, i feel like the message of &quot;don&#39;t sit around and just accept that there is no sky, instead take your drill amd pearce the sky to go further, always seeking higher grounds&quot; a more Christian message than &quot;the world is terrible, i&#39;m terrible and i want everyone to die and disapear or be just like me&quot;.<br><br>And before any r/atheist comment, yes i believe on a sky daddy and his space zombie and we are all a*holes, there is always room to one more and there is always something to improve",0,0,2023-12-04T13:47:44Z,-0.1937499999999999,0.6125,0.142,0.717,0.141,-0.2617,43.06,21.95,0,fear
UgxNeMkUzExYrBgCkMd4AaABAg,@ItzSwxzy,"<a href=""https://www.youtube.com/watch?v=1MZEvcHipP8&amp;t=10m17s"">10:17</a> tbh i dont think either show does the best job of showcasing sexuality.",0,0,2023-12-01T02:57:17Z,1.0,0.3,0.0,0.769,0.231,0.6369,47.79,11.33,0,disgust
UgylJf_zdKUP_dW0I1R4AaABAg,@yeyegtpp,"I may be 2 years late here, but this has been such a great analisys regardless.<br><br>I just have 1 thing to say, and is that you only missed the part to notice that the Anti Spiral race pretty much resulted into what would have been if Shinji would have accepted Human Instrumentality: a wasteland planet, with a whole dormant race, representes by a single nigh omnipotent being, statics, unable to keep evolving, because according to EVA evolving is suffering as to Anti Spirals evolution would meant the end of everything, and while Rei has the whole world in her lower part on her final form, the Anti Spiral has his world with his people in his forehead on his final form.<br><br>So, ultimately, it is like the Gurren Lagann crew decided to punch the concept and purpose of Human Instrumentalization in the face and say F*ck U to it, haha.",0,0,2023-11-30T13:18:16Z,0.0611607142857142,0.5665178571428572,0.105,0.782,0.112,0.5023,29.49,23.1,1,guilt
UgwsxZCkOoClopjsfFR4AaABAg,@researchpurposes,What an insightful video dude. That was crazy. Now I understand why I love Gurren Lagaan so much,0,0,2023-11-27T20:25:39Z,0.0333333333333333,0.5666666666666667,0.106,0.708,0.186,0.4215,90.77,4.62,0,joy
UgwIw0VSNjT7kXs4UCR4AaABAg,@gabrielchasecanceladosinap3959,".... This could have been such an amazing video... <br><br>It&#39;s not bad, but definitly it could have been better...",0,0,2023-11-27T02:41:29Z,0.3625,0.6416666666666666,0.0,0.662,0.338,0.8006,96.18,3.6,0,shame
Ugxt7nNbjX6Gl8mSxZt4AaABAg,@MoSteel2,"I never got into Evangelion, and I don&#39;t want to. It never interest me. As for Gurren Lagann, It&#39;s the anime that give me motivation when I&#39;m down. Watch it hypes me up.",0,0,2023-11-25T23:57:46Z,-0.1555555555555555,0.2888888888888889,0.069,0.829,0.102,0.0567,79.97,6.96,0,shame
Ugzq4tPrCn2yrDCyaRJ4AaABAg,@mammothplant,"Great video, but just a small note: the creators of Serial Experiments Lain had actually never actually seen Evangelion until well into the show&#39;s runtime.",0,0,2023-11-25T03:08:50Z,0.1833333333333333,0.4166666666666667,0.0,0.816,0.184,0.6369,37.64,16.4,0,disgust
Ugxa0PUv-d2E1gjD_Ul4AaABAg,@SingWhenTheEndComes,"Idk, Rei is cute, I guess.",0,0,2023-11-23T06:00:11Z,0.5,1.0,0.167,0.476,0.357,0.3818,116.15,2.4,0,guilt
UgwNtQVhnCmbl1XzWOh4AaABAg,@FireTowerV,Sooooooo.<br>Yin &amp; Yang?<br>Evangelion &amp; Gurren Lagann?,0,0,2023-11-17T02:25:51Z,0.0,0.0,0.0,1.0,0.0,0.0,17.67,7.87,0,sadness
UgwtAqM9TBIJG8qH1TV4AaABAg,@jaimearturoposadastorres235,"The shinji of the Super robot wars is very differenct to the original, because he got the super robot pilots. He is more heroic",0,0,2023-11-08T12:33:11Z,0.4069444444444444,0.6305555555555555,0.098,0.519,0.382,0.8858,67.76,8.13,0,disgust
Ugw-aN7sUaqjuHaWxkN4AaABAg,@Hello-bg8hv,Gurren lagann is cringe you will never convince me other wise. If you turn off your brain completely you can enjoy the show to its fullest. Low key the cyberpunk anime does Gurren better,0,1,2023-11-04T22:10:55Z,0.225,0.5678571428571428,0.091,0.686,0.224,0.7666,76.93,6.87,1,disgust
Ugw_47QOA16LnmLB-a54AaABAg,@keybladesrus,"Gurren Lagann is one of my favorite anime of all time. Recently, I watched all of Eva. The show, EoE, and the Rebuild movies. I was excited to do so because, on paper, Eva has so much that I should love in an anime. I wanted to see why it&#39;s so highly acclaimed, and thought I would love it. I HATED Eva. I lack the words and critical analysis skills to fully explain why, but I hated it so much. I only kept going because I needed to see why it was so loved. Surely something would happen at some point that would make it all click, and I would get it. That never happened, and by the end, I was just glad that it was over. <br><br>Throughout Eva, I kept thinking about Gurren Lagann and how both series kept touching on similar points, but I felt Gurren Lagann did so better and much more coherently. This video has helped me recognize the different perspectives both series approached the same points from, but my opinion on Eva hasn&#39;t changed at all. I&#39;m not sure why I feel that way. I don&#39;t think it&#39;s Eva&#39;s pessimism as opposed to Gurren Lagann&#39;s optimism; the writer of two other favorite anime of mine, Gen Urobuchi, is known to be fatally allergic to happy endings and good vibes. I&#39;m a Kingdom Hearts fan, so I don&#39;t think it&#39;s the way Eva characters ramble at each other about philosophy and jargon instead of actually talking to each other like human beings. <br><br>I don&#39;t know, nor do I know if I have any point here. In conclusion, Gurren Lagann rocks, and Eva is not for me.",0,0,2023-11-04T14:05:36Z,0.1836666666666666,0.5989259259259261,0.077,0.751,0.172,0.9888,80.11,8.6,1,joy
UgwKeZjk5-24_uQAdWh4AaABAg,@mooseboose656,I&#39;ve been thinking about this for a bit now and the Evangelion vs gurren lagann debate is the perfect encapsulation of it.,0,0,2023-10-31T22:39:15Z,1.0,1.0,0.0,0.85,0.15,0.5719,57.61,12.44,0,disgust
UgxjWhZ9t017eGym-094AaABAg,@maestroplay6563,"now that i think about it, maybe evangelion ends with humanity becoming anti-spiral (in a sense). cuz anti spiral was once spiral being (humanity)",1,0,2023-10-31T15:46:45Z,0.45,0.8500000000000001,0.091,0.909,0.0,-0.3182,50.84,8.13,1,disgust
UgxUWYbtsS7zwOcOACh4AaABAg,@hawkeyenextgen7117,"Is it ok to be unable to enjoy Gurren Lagaan? I want to watch it so badly but I can&#39;t. I&#39;m afraid Nia&#39;s death will trigger the memory of my ex&#39;s suicide. But people from the anime fandom have shamed me for it, accusing me of murdering her.",0,1,2023-10-29T06:13:48Z,-0.1799999999999999,0.6133333333333333,0.381,0.55,0.068,-0.9801,76.22,7.3,1,fear
Ugz9XuDbgy6uRhrC0DF4AaABAg,@MbimNoz,"Life is shit, and not everything can be oveercomed like what in TTGL, with spirit and a lot of yelling... Most of the time, life is as depressing and there&#39;s just shits over shits like in Eva. I know people love the light toned and positive atittude shit... But life... is shit my dudes... Embrace instrumentality, fuck humanity... Human is the worse!!!",0,0,2023-10-26T01:46:53Z,-0.068543388429752,0.6314049586776858,0.298,0.568,0.135,-0.9499,86.4,6.7,1,disgust
Ugwj57HHAD9ysFOZq2N4AaABAg,@izanagiin,Evangelion fans: Always arguing over which girl is the best<br><br>Gurren Lagann enjoyers: WHO THE HELL DO YOU THINK WE ARE  (LIBERA ME FROM HELL INTENSIES),0,0,2023-10-25T13:08:55Z,0.0,0.0,0.361,0.555,0.085,-0.9094,46.1,16.4,1,disgust
UgxfHnytzGtgZq3dZMh4AaABAg,@evankranz3364,The virgin evangelion vs the chad gurren lagan,1,0,2023-10-19T19:44:37Z,0.0,0.0,0.0,1.0,0.0,0.0,63.36,8.2,0,disgust
UgwbPvaGUtyHb-C0EZt4AaABAg,@crazyscarecrow8136,"Imma be really pedantic, but you did one of my biggest pet peeves in your first sentence:<br><br>&quot;The culture in which it comes from&quot; - no<br><br>&quot;The culture from which it comes&quot; - yes",0,0,2023-10-17T13:55:44Z,0.225,0.2666666666666666,0.0,0.897,0.103,0.5499,49.49,12.0,0,sadness
Ugw6nCd9pyfeH4Prvf94AaABAg,@akiraasmr3002,The irony in Star Wars becoming a capitalist block buster when Lucas made it very communist like the rebels being the Vietcong and the Empire being the US.,0,0,2023-10-16T17:28:43Z,0.325,0.5750000000000001,0.269,0.652,0.079,-0.6929,51.52,15.49,0,disgust
Ugx6Jtwc6NrKgZmKA914AaABAg,@Yazarastsu,If you’re beckoned by your father on your 14 birthday don’t answer,0,0,2023-10-11T20:53:27Z,0.0,0.0,0.0,1.0,0.0,0.0,84.68,4.8,0,shame
UgyjZVUdt811aj-GgqB4AaABAg,@tale7955,Eva and Gurren lagan are the difference between &quot;Believe in me because i make no mistake believeing in you&quot; and &quot;Get in that fcking eva shinji!&quot;,0,0,2023-10-09T21:52:42Z,0.0,0.0,0.0,0.915,0.085,0.3244,53.55,11.94,0,guilt
