Index,text,likesCount
0,I love the Cheesecake Factory. I have never had a bad experience there!,27
1,"Had an awful time Saturday night, thank goodness our waitress was great.",2
2,Bring back the mushroom soup!,41
3,FACT,5
4,Bring back Boston House Salad,8
5,It’s real Long now many choices I love it.,5
6,"When our daughter worked at The Cheesecake Factory Corporate Office in LA, she would bring a whole cheesecake when she flew back to florida.  We always looked forward to her visits! 😉",6
7,Bring back spicy cashew chicken,8
8,Can’t wait for the new location in coconut Creek Florida to open next month.,4
9,Bring back the shrimp blt!,7
10,Bring back the stuffed cheddar burger 😡,1
11,Bring back the different soup for every day of the week.,4
12,Fact,1
13,I miss the salmon fire cracker rolls,10
14,Bring back the tons of fun burger.,6
15,Please bring back the Luau and Boston Bibb Salads.,2
16,Bring back Grilled Artichokes!,3
17,"Idk. Bring back the chicken teriyaki, then we’ll talk.",0
18,Probably fact,2
19,Not anymore!,2
20,Bring back the 2 page menu!,8
21,Fact,3
22,I can’t say for sure as I was 2 but later it was long,3
23,"Come to Myrtle Beach, SC",2
24,"Fiction.  Even when Covid and the resulting supply chain problems struck, the abridged menu was still 47 pages long…😆",3
25,True?,2
26,True!,2
27,Bring back the pork belly sliders,4
28,Fact,3
29,Fact,4
30,Fact,2
31,Fact,1
32,Probably true,2
33,Fact,3
34,"Bring back
The Factory Burger on the sourdough",3
35,Fiction.,3
36,Fact,2
37,Bring back the corn soup!! And the Luau salad!,3
38,Bring one closer to ME!!! Lol,4
39,#Fact,2
40,Love Chessecake Factory,0
41,Fact,1
42,Fact,2
43,The restaurant opened in 1978.,0
44,Please bring back Chicken di Pana!!!,3
45,Fact,1
46,True,3
47,FACTory,2
48,Ryan J. Cariglio,1
49,Factory,2
50,"Blodgett S. Jack Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
51,"Lisette Fields You look so beautiful. You have the best smile only the chief of Angels has which  means you of all the angels around the world🌹😊 I'm sorry for invading your privacy  I will love to know you more, Kindly send me a Friend request. If you happen to find this message embarrassing, please pardon my manners... Thank you😔😔",0
52,"Jonathan XiXiv Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
53,"Jonathan XiXiv 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0
54,"Blake Cariglio Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
55,"Kathy Baylor Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
56,"Jessica Kelly-Brown Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
57,"Jessica Kelly-Brown 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0
58,"Linda Wright Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
59,"Linda Wright 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0
60,"Monique Salerno Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
61,"Monique Salerno 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0
62,"Monique Salerno Apologies for dropping this here but it feels too great to visit your timeline,🌹🌹 I always enjoy what you share here on Facebook but we're not friends yet🌹🌹 I have tried several times to send the friend request but it's not going. Do you mind trying from your side? I will be happy to be friends with you. If you find this message embarrassing please pardon my manners Thank you🌹",0
63,"Letitia 'Teecee Bunny' Greene Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
64,"Letitia 'Teecee Bunny' Greene 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0
65,"Dev P Degges 😍I'm always happy to see what you share here on Facebook, but we're not friends yet, I've tried sending you a request several times but it doesn't go through. I would be so happy if you can just click on my profile and send me a request, but if you find this message embarrassing, please forgive my manners, have a safe day,thank you and stay blessed 🌹🌺💙",0
66,"Dev P Degges I always enjoy what you share here on Facebook but we're not friends yet, I've tried several times to send you request but is not going through. Do you mind trying from your end, I'll be glad to be friends with you. If you find this message embarrassing, please pardon my manners🙏🌹🌹....Thank you",0
67,"Dev P Degges Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
68,"Dev P Degges God answers our prayers In different ways, GOD change my life for good  through binary option trade  with the help of Mr George Paltan, His trading techniques are so unique ...Click the link below to contact Him and change your financial status
📥📥📥
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0
69,"Tina Little Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
