Index,Index,text,likesCount,TextBlob Polarity Score,TextBlob Subjectivity Score,Vader Negative Polarity Score,Vader Neutral Polarity Score,Vader Positive Polarity Score,Vader Compound Polarity Score
0,0,I love the Cheesecake Factory. I have never had a bad experience there!,27,-0.1874999999999999,0.6333333333333333,0.0,0.6,0.4,0.8096
1,1,"Had an awful time Saturday night, thank goodness our waitress was great.",2,-0.09999999999999998,0.875,0.146,0.388,0.466,0.765
2,2,Bring back the mushroom soup!,41,0.0,0.0,0.0,1.0,0.0,0.0
3,3,FACT,5,0.0,0.0,0.0,1.0,0.0,0.0
4,4,Bring back Boston House Salad,8,0.0,0.0,0.0,1.0,0.0,0.0
5,5,It’s real Long now many choices I love it.,5,0.30833333333333335,0.5666666666666668,0.0,0.656,0.344,0.6369
6,6,"When our daughter worked at The Cheesecake Factory Corporate Office in LA, she would bring a whole cheesecake when she flew back to florida.  We always looked forward to her visits! 😉",6,0.06666666666666667,0.13333333333333333,0.0,1.0,0.0,0.0
7,7,Bring back spicy cashew chicken,8,-0.3,0.475,0.0,1.0,0.0,0.0
8,8,Can’t wait for the new location in coconut Creek Florida to open next month.,4,0.04545454545454545,0.3181818181818182,0.0,1.0,0.0,0.0
9,9,Bring back the shrimp blt!,7,0.0,0.0,0.0,1.0,0.0,0.0
10,10,Bring back the stuffed cheddar burger 😡,1,0.0,0.0,0.0,1.0,0.0,0.0
11,11,Bring back the different soup for every day of the week.,4,0.0,0.3,0.0,1.0,0.0,0.0
12,12,Fact,1,0.0,0.0,0.0,1.0,0.0,0.0
13,13,I miss the salmon fire cracker rolls,10,0.0,0.0,0.444,0.556,0.0,-0.4588
14,14,Bring back the tons of fun burger.,6,0.15,0.1,0.0,0.645,0.355,0.5106
15,15,Please bring back the Luau and Boston Bibb Salads.,2,0.0,0.0,0.0,0.777,0.223,0.3182
16,16,Bring back Grilled Artichokes!,3,0.0,0.0,0.0,1.0,0.0,0.0
17,17,"Idk. Bring back the chicken teriyaki, then we’ll talk.",0,-0.3,0.475,0.149,0.851,0.0,-0.1027
18,18,Probably fact,2,0.0,0.0,0.0,1.0,0.0,0.0
19,19,Not anymore!,2,0.0,0.0,0.0,1.0,0.0,0.0
20,20,Bring back the 2 page menu!,8,0.0,0.0,0.0,1.0,0.0,0.0
21,21,Fact,3,0.0,0.0,0.0,1.0,0.0,0.0
22,22,I can’t say for sure as I was 2 but later it was long,3,0.15,0.4296296296296296,0.0,0.887,0.113,0.1655
23,23,"Come to Myrtle Beach, SC",2,0.0,0.0,0.0,1.0,0.0,0.0
24,24,"Fiction.  Even when Covid and the resulting supply chain problems struck, the abridged menu was still 47 pages long…😆",3,0.1,0.5,0.179,0.725,0.095,-0.296
25,25,True?,2,0.35,0.65,0.0,0.0,1.0,0.4215
26,26,True!,2,0.4375,0.65,0.0,0.0,1.0,0.4753
27,27,Bring back the pork belly sliders,4,0.0,0.0,0.0,1.0,0.0,0.0
28,28,Fact,3,0.0,0.0,0.0,1.0,0.0,0.0
29,29,Fact,4,0.0,0.0,0.0,1.0,0.0,0.0
30,30,Fact,2,0.0,0.0,0.0,1.0,0.0,0.0
31,31,Fact,1,0.0,0.0,0.0,1.0,0.0,0.0
32,32,Probably true,2,0.35,0.65,0.0,0.263,0.737,0.4215
33,33,Fact,3,0.0,0.0,0.0,1.0,0.0,0.0
