"postTitle","postDescription","text","likesCount","facebookUrl"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"I love the Cheesecake Factory. I have never had a bad experience there!","27","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Had an awful time Saturday night, thank goodness our waitress was great.","2","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Bring back the mushroom soup!","41","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"FACT","5","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Bring back Boston House Salad","8","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"It’s real Long now many choices I love it.","5","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"When our daughter worked at The Cheesecake Factory Corporate Office in LA, she would bring a whole cheesecake when she flew back to florida.  We always looked forward to her visits! 😉","6","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Bring back spicy cashew chicken","8","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Can’t wait for the new location in coconut Creek Florida to open next month.","4","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Bring back the shrimp blt!","7","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
