Index,search_keyword,url,name,title,description,TextBlob Polarity Score,TextBlob Subjectivity Score,Vader Negative Polarity Score,Vader Neutral Polarity Score,Vader Positive Polarity Score,Vader Compound Polarity Score,Flesch Reading Ease Score,Gunning_Fog Score
0,Warhammer 40k Blood Angels,https://i.pinimg.com/474x/cd/70/fa/cd70fa96a27a55eb9b472fce85ed51b6--warhammer--war-hammer.jpg,cd70fa96a27a55eb9b472fce85ed51b6--warhammer--war-hammer.jpg,"Blood Angels :: Space Marine (Adeptus Astartes) :: Imperium (Империум) :: Warhammer 40000 (warhammer40000, warhammer40k, warhammer 40k, ваха, сорокотысячник) :: nrg :: NicolasRGiacondino :: Асторат Мрачный :: Эразм Тихо :: Сангвинор :: Лорд Данте :: фэндомы","В этом разделе мы собираем самые интересные картинки, арты, комиксы, статьи по теме Blood Angels (+980 картинок, рейтинг 8,986.7 - Blood Angels)",0.0,0.0,0.0,1.0,0.0,0.0,103.12,4.2
1,Warhammer 40k Blood Angels,https://i.pinimg.com/474x/3c/86/a9/3c86a9f7cf869d4e74d910e5a9d18c07--space-marine-warhammer-.jpg,3c86a9f7cf869d4e74d910e5a9d18c07--space-marine-warhammer-.jpg,warhammer 40k image,View the Mod DB Warhammer 40K Fan Group image warhammer 40k,0.2,0.4,0.0,0.813,0.187,0.3182,85.69,4.4
2,Warhammer 40k Blood Angels,https://i.pinimg.com/474x/5e/88/48/5e88488aeef6f8ea0662c173146ce17e.jpg,5e88488aeef6f8ea0662c173146ce17e.jpg,N U K E,VANCOUVER (37) IG: dumpweed♒️♏️♒️#me,0.0,0.0,0.0,1.0,0.0,0.0,50.5,11.6
3,Warhammer 40k Blood Angels,https://i.pinimg.com/474x/48/56/6b/48566be653f390258de261fcf70565df.jpg,48566be653f390258de261fcf70565df.jpg,Death Company vs Nurgle - Art by Thibault Ollier,Warhammer 40K artwork by the talented artist Thibault Ollier (Tibz-Ollier-Thibault) under the category of Chaos Cults | Space Marines. A regiment of astra,0.7,0.9,0.132,0.75,0.118,-0.1027,60.31,9.85
4,Warhammer 40k Blood Angels,https://i.pinimg.com/474x/48/9b/09/489b0922b3448459ffc45114004d6a53.jpg,489b0922b3448459ffc45114004d6a53.jpg,Echo on,“Sanguinius teaching his sons #warhammerfanart #warhamer”,0.0,0.0,0.0,1.0,0.0,0.0,48.47,9.07
5,Warhammer 40k Blood Angels,https://i.pinimg.com/474x/cf/10/32/cf1032b4221bd4973ed5765684545512--warhammer-models-warhammer-fantasy.jpg,cf1032b4221bd4973ed5765684545512--warhammer-models-warhammer-fantasy.jpg,In the Shadow of Mighty Wings; Exousai Issedonei,"High quality professional commission painting service for Games Workshop Forgeworld, and all miniature hobby games.",0.13,0.3199999999999999,0.0,1.0,0.0,0.0,30.87,14.0
6,Warhammer 40k Blood Angels,https://i.pinimg.com/474x/d0/9b/a1/d09ba1ca60544e4410781c543859cbbb--warhammer-figures-warhammer-fantasy.jpg,d09ba1ca60544e4410781c543859cbbb--warhammer-figures-warhammer-fantasy.jpg,Blood Angels Death Company,Then the new Blood Angels Codes along with new minis came out. I grab some new minis to complete the starter army. I really love the details on those guys. They look just awesome and are Blood Ange…,0.3348484848484848,0.5606060606060607,0.0,0.807,0.193,0.8622,95.67,3.8
7,Warhammer 40k Blood Angels,https://i.pinimg.com/474x/c4/53/a1/c453a15326ab965ab5e4bae8ddfcc9a9--k-news-warhammer-models.jpg,c453a15326ab965ab5e4bae8ddfcc9a9--k-news-warhammer-models.jpg,What's On Your Table: Pre-Heresy Blood Angel Praetor,"We have been seeing some really amazing work form the community of late, and this one stands up to the best. Truly inspiring. Someday I wish to have a fraction of the talent shown by community members like this. Hi, I recently finished this model for the european forgeworld open day in Amsterdam. Thought it might be nice to feature it on your site, especially with all the Blood Angels buzz going around lately. Hope you can find a spot for him, as i´m quite proud of the result! Kind regards, Ryan Mead What's on your table is an opportunity for readers to share what they are working on. Conversions, painting, batreps, even side home brew projects. If you want to Share ""What's On Your Table"". Please no more than 8 pics, send your project to natfka@live.com. If for any reason you do not want your name used, please say so.",0.2653846153846154,0.6576923076923076,0.019,0.72,0.261,0.9915,81.53,8.42
8,Warhammer 40k Blood Angels,https://i.pinimg.com/474x/e2/d0/7e/e2d07ececc974e9ae8ae0f4bb8226c0f--ultramarines-deathwatch.jpg,e2d07ececc974e9ae8ae0f4bb8226c0f--ultramarines-deathwatch.jpg,"Death Company :: Blood Angels :: Space Marine (Adeptus Astartes) :: Imperium (Империум) :: Warhammer 40000 (warhammer40000, warhammer40k, warhammer 40k, ваха, сорокотысячник) :: фэндомы","В этом разделе мы собираем самые интересные картинки, арты, комиксы, статьи по теме Blood Angels (+1048 картинок, рейтинг 10,182.3 - Blood Angels)",0.0,0.0,0.0,1.0,0.0,0.0,103.12,4.2
9,Warhammer 40k Blood Angels,https://i.pinimg.com/474x/b3/2f/de/b32fde6f2926204ae09319470648eaf9.jpg,b32fde6f2926204ae09319470648eaf9.jpg,"""Blood Angels"" Honor Guard *Primaris Marines",Explore Toxogen's 456 photos on Flickr!,0.0,0.0,0.0,1.0,0.0,0.0,56.93,9.07
